trade_date,stock_name,ts_code,close,ma_short,ma_long,golden_cross,death_cross,signal,cash,shares,position_ratio,total_asset,strategy_nav,strategy_return,benchmark_nav,benchmark_return,cummax_nav,drawdown
2025-07-03,招商银行,600036.SH,46.61,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0,0.0,1.0,0.0
2025-07-04,招商银行,600036.SH,47.07,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0098691267968247,0.009869126796824723,1.0,0.0
2025-07-07,招商银行,600036.SH,47.2,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0126582278481013,0.00276184406203539,1.0,0.0
2025-07-08,招商银行,600036.SH,47.62,,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0216691697060716,0.00889830508474554,1.0,0.0
2025-07-09,招商银行,600036.SH,47.13,47.126,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0111564042051062,-0.010289794204115799,1.0,0.0
2025-07-10,招商银行,600036.SH,48.24,47.452,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,1.0349710362583138,0.02355187778485046,1.0,0.0
2025-07-11,招商银行,600036.SH,45.64,47.166,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9791890152327827,-0.05389718076285244,1.0,0.0
2025-07-14,招商银行,600036.SH,45.57,46.84,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9776871915897876,-0.0015337423312884457,1.0,0.0
2025-07-15,招商银行,600036.SH,45.22,46.36,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9701780733748122,-0.007680491551459334,1.0,0.0
2025-07-16,招商银行,600036.SH,45.11,45.956,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9678180647929628,-0.0024325519681556163,1.0,0.0
2025-07-17,招商银行,600036.SH,45.0,45.308,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9654580562111135,-0.0024384837064952425,1.0,0.0
2025-07-18,招商银行,600036.SH,45.05,45.19,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9665307873846813,0.0011111111111110628,1.0,0.0
2025-07-21,招商银行,600036.SH,44.85,45.046,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9622398626904098,-0.00443951165371792,1.0,0.0
2025-07-22,招商银行,600036.SH,44.94,44.989999999999995,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.964170778802832,0.0020066889632106566,1.0,0.0
2025-07-23,招商银行,600036.SH,45.12,44.992000000000004,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9680326110276765,0.004005340453938633,1.0,0.0
2025-07-24,招商银行,600036.SH,44.88,44.968,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9628835013945506,-0.005319148936170137,1.0,0.0
2025-07-25,招商银行,600036.SH,44.83,44.924,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9618107702209826,-0.0011140819964350346,1.0,0.0
2025-07-28,招商银行,600036.SH,44.44,44.842,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9534434670671529,-0.008699531563685081,1.0,0.0
2025-07-29,招商银行,600036.SH,44.14,44.682,,False,False,0,100000.0,0,0.0,100000.0,1.0,0.0,0.9470070800257455,-0.006750675067506706,1.0,0.0
